CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	UNDRLNG_ST	NOTIONAL_V	PREMIUM_TR
OPTSTKJKCEMENT25-JAN-2023CE3050	87.85	0	0	0		88.4	0.55	0	0	0	2964.75	0	0
OPTSTKADANIENT25-JAN-2023CE3050	808.25	0	0	0		797.05	11.2	0	0	0	3830.95	0	0
OPTSTKOFSS23-FEB-2023PE3050	138.85	0	0	0		149.65	10.8	0	0	0	2999.55	0	0
OPTSTKEXIDEIND23-FEB-2023PE152.5	0.6	0	0	0		0.6	0	0	0	0	180.9	0	0
OPTSTKASIANPAINT23-FEB-2023CE3160	107.35	0	0	0		97.5	9.85	0	0	0	3028.25	0	0
OPTIDXFINNIFTY07-FEB-2023PE17950	154.75	0	0	0		128.65	26.1	0	0	0	19196.05	0	0
OPTSTKPOLYCAB23-FEB-2023CE3050	29.6	0	0	0		30.15	0.55	0	0	0	2590.9	0	0
OPTSTKIEX25-JAN-2023PE152.5	12.5	10.05	10.05	10.05	10.05	12.1	0.4	5	3750	1	142.65	609562.5	37687.5
OPTSTKOFSS25-JAN-2023CE3050	87.8	0	0	0		73.6	14.2	0	0	0	2999.55	0	0
OPTSTKAPOLLOHOSP29-MAR-2023CE4950	193.4	0	0	0		204.6	11.2	0	0	0	4490.9	0	0
OPTSTKNAVINFLUOR23-FEB-2023PE4950	826.5	0	0	0		902.5	76	0	0	0	4034.05	0	0
OPTSTKMRF23-FEB-2023PE99000	11199.8	0	0	0		10537.95	661.85	0	0	0	88874.7	0	0
OPTSTKBRITANNIA25-JAN-2023CE4950	3.1	0	0	0		1.65	1.45	0	0	0	4241.8	0	0
OPTSTKNAVINFLUOR25-JAN-2023PE4950	814.75	0	0	0		900	85.25	0	0	0	4034.05	0	0
OPTSTKINDIAMART29-MAR-2023PE4950	746.6	0	0	0		729	17.6	0	0	0	4351	0	0
OPTSTKBRITANNIA23-FEB-2023CE4950	24.55	0	0	0		18.4	6.15	0	0	0	4241.8	0	0
OPTSTKATUL25-JAN-2023PE10700	2447.7	0	0	0		2482	34.3	0	0	0	8174.85	0	0
OPTIDXBANKNIFTY05-JAN-2023CE40700	2527.3	2730.35	2730.35	2730.35	2730.35	2740.35	213.05	3	25	1	43425.25	1085758.75	68258.75
OPTSTKLTIM25-JAN-2023PE4950	634.5	0	0	0		609.35	25.15	0	0	0	4349.2	0	0
OPTSTKNAVINFLUOR23-FEB-2023CE4950	46.9	0	0	0		33.7	13.2	0	0	0	4034.05	0	0
OPTSTKINDIAMART29-MAR-2023CE4950	203.45	0	0	0		208.35	4.9	0	0	0	4351	0	0
OPTIDXBANKNIFTY02-FEB-2023PE40700	336.9	0	0	0		285.45	51.45	0	0	0	43425.25	0	0
OPTIDXBANKNIFTY05-JAN-2023PE40700	6.5	7	7	3.95	4.45	4.45	2.05	6816	976475	39059	43425.25	39747513845	4981345
OPTSTKDRREDDY23-FEB-2023PE4950	686.4	0	0	0		683.5	2.9	0	0	0	4238.35	0	0
OPTIDXBANKNIFTY25-JAN-2023CE40700	2910.65	2801.35	2801.35	2801.35	2801.35	3078.7	168.05	156	25	1	43425.25	1087533.75	70033.75
OPTSTKINDIAMART23-FEB-2023CE4950	118.25	0	0	0		121.4	3.15	0	0	0	4351	0	0
OPTSTKLTIM29-MAR-2023CE4950	170.6	0	0	0		176.25	5.65	0	0	0	4349.2	0	0
OPTIDXBANKNIFTY23-FEB-2023CE40700	3474.05	0	0	0		3625.85	151.8	0	0	0	43425.25	0	0
OPTSTKDRREDDY25-JAN-2023PE4950	695.85	0	0	0		693.35	2.5	0	0	0	4238.35	0	0
OPTSTKATUL25-JAN-2023CE10700	0.3	0	0	0		0.2	0.1	0	0	0	8174.85	0	0
OPTSTKAPOLLOHOSP25-JAN-2023PE4950	516.45	0	0	0		482.75	33.7	0	0	0	4490.9	0	0
OPTSTKDRREDDY29-MAR-2023CE4950	51.3	0	0	0		50.5	0.8	0	0	0	4238.35	0	0
OPTIDXBANKNIFTY12-JAN-2023CE40700	2639.55	0	0	0		2829.2	189.65	0	0	0	43425.25	0	0
OPTIDXBANKNIFTY23-FEB-2023PE40700	575.15	0	0	0		512.9	62.25	0	0	0	43425.25	0	0
OPTSTKAPOLLOHOSP23-FEB-2023PE4950	564.6	0	0	0		535.25	29.35	0	0	0	4490.9	0	0
OPTSTKBRITANNIA29-MAR-2023CE4950	59.65	0	0	0		49.3	10.35	0	0	0	4241.8	0	0
